Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","0.1uF","C_0603_1608Metric",23.588000,20.401000,0.000000,top
"C2","2.2uF","C_0603_1608Metric",13.148500,18.623000,0.000000,top
"C3","0.022uF 50V","C_0402_1005Metric",11.497500,22.814000,0.000000,top
"C4","0.1uF","C_0603_1608Metric",11.523000,21.163000,0.000000,top
"C5","0.1uF 50V","C_0402_1005Metric",22.341000,26.878000,0.000000,top
"C6","0.1uF 50V","C_0402_1005Metric",12.943000,26.878000,180.000000,top
"C7","10uF 50V","C_1206_3216Metric",5.808000,27.640000,180.000000,top
"C8","10uF 50V","C_1206_3216Metric",30.446000,27.640000,0.000000,top
"C9","1000pF","C_0603_1608Metric",25.620000,36.530000,180.000000,top
"C10","1000pF","C_0603_1608Metric",25.620000,35.006000,180.000000,top
"C11","1000pF","C_0603_1608Metric",9.618000,36.530000,0.000000,top
"C12","1000pF","C_0603_1608Metric",9.592500,34.879000,0.000000,top
"C13","0.1uF","C_0603_1608Metric",10.062500,14.051000,180.000000,top
"C14","0.1uF","C_0603_1608Metric",5.122200,14.965400,180.000000,top
"C15","100uF 35V","CP_Elec_6.3x7.7",31.500000,13.000000,180,top
"FID1","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",1.744000,37.546000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",34.764000,8.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",34.764000,37.546000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",1.744000,8.000000,0.000000,top
"R1","470","R_0603_1608Metric",13.199500,10.876000,0.000000,top
"R2","0R091","R_1206_3216Metric",23.591000,30.738800,180.000000,top
"R3","0R091","R_1206_3216Metric",11.650000,30.713400,0.000000,top
"U1","TMC2209-LA","TMC22xx_QFN",17.682500,22.941000,270,top
"U2","74LVC1G06","SOT-353_SC-70-5",9.935500,11.765000,180,top
"U3","24LC02","TDFN-8-1EP_3x2mm_P0.5mm_EP1.56x1.45mm",4.461800,12.831800,0.000000,top
