Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 50V","C_1206_3216Metric",1.001661,0.524189,0.000000,top
"C2","10uF 50V","C_1206_3216Metric",0.396043,0.530689,180.000000,top
"C3","0.1uF","C_0603_1608Metric",0.676661,0.408189,0.000000,top
"C4","0.1uF 50V","C_0402_1005Metric",0.603661,0.608189,180.000000,top
"C5","0.47uF","C_0603_1608Metric",0.838661,1.273189,-90.000000,top
"C6","0.1uF","C_0603_1608Metric",0.793661,0.578189,0.000000,top
"C7","0.01uF","C_0603_1608Metric",0.259665,1.293189,180.000000,top
"C8","1000pF","C_0603_1608Metric",1.034665,1.433189,180.000000,top
"C9","1000pF","C_0603_1608Metric",1.036657,1.493189,180.000000,top
"C10","1000pF","C_0603_1608Metric",0.333657,1.485189,0.000000,top
"C11","1000pF","C_0603_1608Metric",0.333657,1.422189,0.000000,top
"C12","0.01uF","C_0603_1608Metric",1.168661,1.308189,0.000000,top
"C13","100uF 35V","CP_Elec_6.3x7.7",1.279528,0.492126,90.000000,top
"C14","0.1uF","C_0603_1608Metric",0.263780,0.472441,90.000000,top
"FID1","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",0.068661,1.478189,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",0.068661,0.063780,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",1.368661,1.478189,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",1.379921,0.063780,0.000000,top
"R1","22R","R_0603_1608Metric",0.258661,1.233189,180.000000,top
"R2","0R051","R_2512_6332Metric",0.265748,1.098189,180.000000,top
"R3","22R","R_0603_1608Metric",1.167657,1.248189,0.000000,top
"R4","0R051","R_2512_6332Metric",1.151575,1.108189,0.000000,top
"U1","TMC2660","TMC2660",0.712661,0.945189,180.000000,top
"U2","74LVC1G06","SOT-353_SC-70-5",0.548661,0.423189,180.000000,top
"U3","24LC02","TDFN-8-1EP_3x2mm_P0.5mm_EP1.56x1.45mm",0.181102,0.484252,-90.000000,top
